"business_id","stars","RestaurantsAttire","RestaurantsTakeOut","BusinessAcceptsCreditCards","NoiseLevel","GoodForKids","RestaurantsReservations","RestaurantsGoodForGroups","RestaurantsPriceRange2","HasTV","Alcohol","BikeParking","RestaurantsDelivery","ByAppointmentOnly","OutdoorSeating","Caters","WheelchairAccessible","WiFi","BYOB","Corkage","RestaurantsTableService","BusinessAcceptsBitcoin","HappyHour","DogsAllowed","CoatCheck","Music","BestNights","HairSpecializesIn","AcceptsInsurance","BYOBCorkage","DriveThru","GoodForDancing","Smoking","AgesAllowed","DietaryRestrictions","RestaurantsCounterService","Open24Hours"
"owV0aSgh4t_9aG56iPxGEw",2.5,"'casual'","True","True","'average'","True","False","True","1","True","'none'","True","False",NA,"True","False",NA,"'free'",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA
"vTqKk3FgwwLgfCcV7F1jmw",3.5,"'casual'","True","True","'quiet'",NA,NA,NA,"1","False","'none'",NA,"False",NA,NA,NA,NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iDHWqYdaTd5cHjppBdg5Rw",3.5,"'casual'","True","True","'quiet'","True","False","True","1","True",NA,NA,"False",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6OhgauonbNtqLRpXXn_nJA",3.5,"'casual'","True","True","'very_loud'","False","False","True","1","False","'none'",NA,"False",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9VU91bqavqmmi3gstjemzA",4,"'casual'",NA,NA,"'average'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xUsLyzWQId6nXwNDVq08qQ",4,"'casual'","True","True",NA,"True","True","True","2",NA,"'full_bar'",NA,"False",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d51qbs6CitHbFD--G-AEVw",3,"'casual'","True","True","'quiet'","True","True","True","2","False","'beer_and_wine'","True","True",NA,"False","True",NA,"'paid'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWDEdiv_v1QppobT1YnEPA",3,"'casual'","True","True","'quiet'","True","False","True","2","True","'full_bar'","False","False",NA,"False",NA,NA,"'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_EGWxiD27k3ahcFpmbSjQg",3.5,"'casual'",NA,"True","'average'",NA,NA,NA,"1",NA,NA,"True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P9ASoX1gV30Sw7_dWvrv5Q",4,"'casual'","True","True","'loud'","True","False","True","1","True","'none'","True","False",NA,"True","False",NA,"'no'",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
