"","business_id","stars","category","word"
"1","z9lOfnUorcbWR_xS0DSeHw",4,"Szechuan, Thai, Chinese, Town Car Service, Transportation, Hotels & Travel, Local Services, Day Spas, Septic Services, Restaurants, Asian Fusion, Limos, Beauty & Spas, Seafood, Soup, Dim Sum","beef"
"2","hcFSc0OHgZJybnjQBrL_8Q",3,"Vegetarian, Noodles, Restaurants, Chinese","beef"
"3","UPSzbM6D2SkarWAINq1I9A",5,"Restaurants, Vietnamese, Chinese","beef"
"4","sfd19Wo_7g2TwaoJmA9B8A",1,"Chinese, Restaurants","beef"
"5","t_yiQnxUDdPPCN2z4QyezA",5,"Restaurants, Chinese, Taiwanese, Dim Sum","beef"
"6","HVpwpXneaCWMeEBF7H8jpQ",4,"Bubble Tea, Taiwanese, Asian Fusion, Restaurants, Food, Chinese","beef"
"7","qAzOcHnWerREl678su-p0A",4,"Restaurants, Chinese, Japanese","beef"
"8","y3vpN6sfipzEpn9Tt5wuog",4,"Chinese, Restaurants","beef"
"9","8ZL4ed3Y8_F6AgPAYxgi2g",5,"Chinese, Soup, Restaurants","beef"
"10","hEUAUdG4fBdYWvPeEASnng",5,"Restaurants, Dim Sum, Cantonese, Vietnamese, Chinese","beef"
"11","JEqM8xXhKumU5AfhmsiD8w",5,"Chinese, Restaurants","beef"
"12","8cjXEmuqgCbIRudb2D52qw",4,"Cantonese, Restaurants, Dim Sum, Chinese","beef"
"13","ceuvH6NpDhpT1p4q1w93pA",4,"Thai, Restaurants, Asian Fusion, Taiwanese, Dim Sum, Chinese","beef"
"14","2cetuQgbP1Bnzm-uMRlocQ",3,"Vietnamese, Chinese, Asian Fusion, Noodles, Restaurants, Nightlife, Karaoke, Bars","beef"
"15","QI0PGXbGkIdInOOBeq6ieQ",3,"Chinese, Japanese, Restaurants, Sushi Bars, Buffets","beef"
"16","MFbTdZe4Aby_0UbWWsfl6Q",5,"Restaurants, Chinese","beef"
"17","3Esl4FVI9Rzl_KSmIiMgaw",2,"Restaurants, Chinese","beef"
"18","6OhgauonbNtqLRpXXn_nJA",4,"Chinese, Restaurants","beef"
"19","Q3zZTpHQBSbiPq2lLaTtgw",5,"Imported Food, Ethnic Food, Szechuan, Food, Specialty Food, Restaurants, Chinese","beef"
"20","jjBTBObnHrY87qQIMybjzQ",5,"Restaurants, Chinese","beef"
"21","iDHWqYdaTd5cHjppBdg5Rw",4,"Restaurants, Chinese","beef"
"22","vVdY2qDO7dkUrU8LXYZ1uA",4,"Seafood, Chinese, Restaurants","beef"
"23","jDZJsIyc3jXjcTtJk_p8ZA",3,"Restaurants, Chinese","beef"
"24","owV0aSgh4t_9aG56iPxGEw",2,"Chinese, Fast Food, Restaurants","beef"
"25","OyBStpjF5e_iRCMXflFasQ",3,"Restaurants, Food, Seafood, Szechuan, Chinese, Coffee & Tea","beef"
"26","vGCAzbPIcZNkqNkKBbh4Ow",3,"Chinese, Thai, Restaurants","beef"
"27","1MrJJ9tyNyfFrxaNZ67xFg",4,"Restaurants, Sushi Bars, American (New), Japanese, Chinese, Steakhouses","beef"
"28","dRT7tLyakasIjJ4B0Fm92Q",4,"Chinese, Restaurants","beef"
"29","EVkytEhlC1nswqmgrHdviw",4,"Chinese, Restaurants","beef"
"30","mqiHZYNXnMLaEK87JZOzmA",2,"Restaurants, Chinese","beef"
"31","pW-fOxuaWBkIhum5NANx2w",4,"Restaurants, Chinese","beef"
"32","mv-jYCNbl37aZ7gVZu8vaw",2,"Chinese, Restaurants, Caterers, Event Planning & Services","beef"
"33","-XH3-e3jDVdjHJq7GfNY7w",5,"Vietnamese, Chinese, Restaurants","beef"
"34","XhMfL-6lt-prYyC9Lp02gg",5,"Chinese, Restaurants","beef"
